model_family,number,value,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state,user_attrs_mean_predicted_uplift,user_attrs_policy_gain_top10,user_attrs_policy_gain_top20,user_attrs_policy_gain_top30,user_attrs_positive_uplift_rate,user_attrs_qini_auc,user_attrs_resolved_params,user_attrs_treatment_response_auc,user_attrs_uplift_auc,params_C,params_class_weight,params_penalty
ft_transformer,0,0.18385857195634508,4096.0,0.09126501704154573,32.0,64.0,0.0001754863888727314,4.0,2.0,1.1539318038896453e-05,COMPLETE,0.0005812965879311377,0.008056931188608282,0.004790452745564815,0.0034287195430634234,0.9451046132254236,0.18385857195634508,"{'embedding_dim': 32, 'num_layers': 2, 'num_heads': 4, 'dropout': 0.09126501704154573, 'hidden_dim': 64, 'learning_rate': 0.0001754863888727314, 'weight_decay': 1.1539318038896453e-05, 'batch_size': 4096}",0.950543955406407,0.005949660755159584,,,
ft_transformer,1,0.17116304148301287,4096.0,0.25377771572999636,96.0,128.0,0.0006588547733275822,2.0,2.0,2.8178792420096036e-05,COMPLETE,0.0004561169644669898,0.007895773450871484,0.004702566887088717,0.003359120432312566,0.2957854987163429,0.17116304148301287,"{'embedding_dim': 96, 'num_layers': 2, 'num_heads': 2, 'dropout': 0.25377771572999636, 'hidden_dim': 128, 'learning_rate': 0.0006588547733275822, 'weight_decay': 2.8178792420096036e-05, 'batch_size': 4096}",0.9493848317906105,0.0055386023656827914,,,
ft_transformer,2,0.18248656226777651,1024.0,0.17119946096133565,64.0,128.0,0.0003359166391193952,8.0,2.0,4.2144050380264795e-05,COMPLETE,0.0008165455211214178,0.007947474471013325,0.004827936948258348,0.0034607513566731933,0.999898781008599,0.18248656226777651,"{'embedding_dim': 64, 'num_layers': 2, 'num_heads': 8, 'dropout': 0.17119946096133565, 'hidden_dim': 128, 'learning_rate': 0.0003359166391193952, 'weight_decay': 4.2144050380264795e-05, 'batch_size': 1024}",0.9522011437177531,0.0059053557971245835,,,
ft_transformer,3,0.18452834251320419,1024.0,0.11344700431418077,96.0,256.0,0.0003109841018702908,8.0,3.0,0.0001868764218857457,COMPLETE,0.0008052100204826704,0.008091358266422287,0.0048411395134023635,0.003432838600437316,0.9465685331257927,0.18452834251320419,"{'embedding_dim': 96, 'num_layers': 3, 'num_heads': 8, 'dropout': 0.11344700431418077, 'hidden_dim': 256, 'learning_rate': 0.0003109841018702908, 'weight_decay': 0.0001868764218857457, 'batch_size': 1024}",0.9539026142566858,0.005971660216214783,,,
ft_transformer,4,0.18140256965781634,2048.0,0.26455009726358786,32.0,256.0,0.0006060526344808422,8.0,2.0,1.2347465563559405e-05,COMPLETE,0.000600882736707276,0.008116521311605538,0.004840896882143538,0.0034208658264080058,0.999422372186881,0.18140256965781634,"{'embedding_dim': 32, 'num_layers': 2, 'num_heads': 8, 'dropout': 0.26455009726358786, 'hidden_dim': 256, 'learning_rate': 0.0006060526344808422, 'weight_decay': 1.2347465563559405e-05, 'batch_size': 2048}",0.9514997109987495,0.005870622376667695,,,
ft_transformer,5,0.1832689039478174,4096.0,0.20696812220857114,32.0,256.0,0.0011086656389609983,4.0,4.0,0.0004956963839268919,COMPLETE,0.0008352391791443095,0.008069605622267193,0.004778527497757741,0.003409823832704874,0.9999989270071583,0.1832689039478174,"{'embedding_dim': 32, 'num_layers': 4, 'num_heads': 4, 'dropout': 0.20696812220857114, 'hidden_dim': 256, 'learning_rate': 0.0011086656389609983, 'weight_decay': 0.0004956963839268919, 'batch_size': 4096}",0.9513851552374644,0.005932741964342287,,,
ft_transformer,6,0.17999871116509522,4096.0,0.2146927610144319,96.0,128.0,0.0008934723302400771,4.0,2.0,0.0007289196357265612,COMPLETE,0.0003556949242508854,0.008011335438781578,0.004802135113847859,0.003439481129468731,0.9986530363193771,0.17999871116509522,"{'embedding_dim': 96, 'num_layers': 2, 'num_heads': 4, 'dropout': 0.2146927610144319, 'hidden_dim': 128, 'learning_rate': 0.0008934723302400771, 'weight_decay': 0.0007289196357265612, 'batch_size': 4096}",0.9510386880306323,0.005824114109036405,,,
ft_transformer,7,0.1656769468727077,2048.0,0.20508790207434507,96.0,256.0,0.0012076657659462278,2.0,3.0,1.6501289802074157e-06,COMPLETE,0.00022864435349948718,0.00734245781922227,0.004655419722162142,0.003347414271796428,0.3994884685459302,0.1656769468727077,"{'embedding_dim': 96, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.20508790207434507, 'hidden_dim': 256, 'learning_rate': 0.0012076657659462278, 'weight_decay': 1.6501289802074157e-06, 'batch_size': 2048}",0.9455826104916153,0.005360288311195209,,,
s_learner_logistic,0,-0.05047594747955459,,,,,,,,,COMPLETE,0.037759818543978425,0.001649217466918563,0.0016002270132681549,0.001212666761506949,1.0,-0.05047594747955459,"{'C': 0.7309121565951461, 'penalty': 'l2', 'class_weight': 'balanced', 'max_iter': 500}",0.95315131113444,-0.0016545205354778303,0.7309121565951461,balanced,l2
s_learner_logistic,1,-0.050475864767872296,,,,,,,,,COMPLETE,0.0377598625715277,0.001649217466918563,0.0016002270132681549,0.001212666761506949,1.0,-0.050475864767872296,"{'C': 3.150310781921574, 'penalty': 'l2', 'class_weight': 'balanced', 'max_iter': 500}",0.953151304408209,-0.0016545178407531725,3.150310781921574,balanced,l2
s_learner_logistic,2,0.18282229491348692,,,,,,,,,COMPLETE,0.0011833418364141435,0.008384900725811693,0.0047717292933716175,0.0033995546939243467,1.0,0.18282229491348692,"{'C': 3.0146595831954888, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9512751305987734,0.005914413492132341,3.0146595831954888,,l2
s_learner_logistic,3,-0.05047588506197736,,,,,,,,,COMPLETE,0.037759847812621185,0.001649217466918563,0.0016002270132681549,0.001212666761506949,1.0,-0.05047588506197736,"{'C': 1.4932980127138373, 'penalty': 'l2', 'class_weight': 'balanced', 'max_iter': 500}",0.9531513059604162,-0.0016545185014431372,1.4932980127138373,balanced,l2
s_learner_logistic,4,0.18283717286340045,,,,,,,,,COMPLETE,0.0011770852695023905,0.008384315547574486,0.004772603289059502,0.0034021512272789456,1.0,0.18283717286340045,"{'C': 0.020565011934247684, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9512984787835738,0.005914892670076217,0.020565011934247684,,l2
s_learner_logistic,5,0.18285109530640886,,,,,,,,,COMPLETE,0.0011712054063599318,0.008358987037538818,0.004771997596541948,0.0034016841467645435,1.0,0.18285109530640886,"{'C': 0.010596631524076696, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9513201532866546,0.005915341257694751,0.010596631524076696,,l2
s_learner_logistic,6,0.1828379570031908,,,,,,,,,COMPLETE,0.0011767888924454763,0.008383730345724694,0.004772451870313868,0.003402284671397097,1.0,0.1828379570031908,"{'C': 0.019637319591737472, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.951299621667941,0.005914917989931706,0.019637319591737472,,l2
s_learner_logistic,7,0.18282498264275437,,,,,,,,,COMPLETE,0.0011821120583193566,0.008384900725811693,0.004771275111540433,0.003401016818444346,1.0,0.18282498264275437,"{'C': 0.10209038455640965, 'penalty': 'l2', 'class_weight': None, 'max_iter': 500}",0.9512796465442312,0.005914500064122391,0.10209038455640965,,l2
