model_name,treatment_response_auc,qini_auc,uplift_auc,policy_gain_top10,policy_gain_top20,policy_gain_top30,mean_predicted_uplift,positive_uplift_rate
s_learner_logistic,0.9502187139710698,0.18662072984761657,0.006040690673702515,0.008544139491454252,0.004902817774730981,0.0034607747613456903,0.0011698730625377136,1.0
two_model_logistic,0.9502282920664304,0.18124087940705266,0.00586204264053127,0.00822438211304867,0.004819529134036065,0.0034298743131961837,0.0009855683909505536,0.9999577956299879
t_learner_logistic,0.9502282920664304,0.18124087940705266,0.00586204264053127,0.00822438211304867,0.004819529134036065,0.0034298743131961837,0.0009855683909505536,0.9999577956299879
ft_transformer,0.9566008613996053,0.18093165966960012,0.0058541581818159,0.00803539930968469,0.004831313405487023,0.003494521947280722,0.0006221275090055323,0.9936242788149442
