model_name,treatment_response_auc,qini_auc,uplift_auc,policy_gain_top10,policy_gain_top20,policy_gain_top30,mean_predicted_uplift,positive_uplift_rate,seed
s_learner_logistic,0.9497194398825328,0.1730210171747992,0.005590639339491909,0.008455524977021362,0.004830084170585841,0.0033656091686791153,0.001113266171724167,1.0,
ft_transformer_causal,0.9473041660910984,0.1584020532381608,0.005112471552229866,0.006383211149535714,0.0033756547426750756,0.002911241256073799,0.023750072746990137,0.9984787356815169,42.0
two_model_logistic,0.9494382555932446,0.14969434819566507,0.00482473778196343,0.00783230405491182,0.0041903247714436525,0.0031893245764717812,0.0010551765979042562,0.9964090531917937,
t_learner_logistic,0.9494382555932446,0.14969434819566507,0.00482473778196343,0.00783230405491182,0.0041903247714436525,0.0031893245764717812,0.0010551765979042562,0.9964090531917937,
ft_transformer,0.9464916887940693,0.14631122889892106,0.004717433694997577,0.00850070198773369,0.004348245023018478,0.0029713401911242478,0.00022265614660679789,0.27143838164182094,
