model_family,number,value,params_batch_size,params_dropout,params_embedding_dim,params_hidden_dim,params_learning_rate,params_num_heads,params_num_layers,params_weight_decay,state,user_attrs_mean_predicted_uplift,user_attrs_policy_gain_top10,user_attrs_policy_gain_top20,user_attrs_policy_gain_top30,user_attrs_positive_uplift_rate,user_attrs_qini_auc,user_attrs_resolved_params,user_attrs_treatment_response_auc,user_attrs_uplift_auc,params_C,params_class_weight,params_penalty
ft_transformer,10,0.18015257185039132,4096.0,0.29271935230443147,64.0,64.0,0.00011964737379733297,8.0,3.0,1.8311562015277183e-05,COMPLETE,0.0004175595306790703,0.008664858385799123,0.004625618302364232,0.0034815372180223587,0.7123665913187788,0.18015257185039132,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 8, 'dropout': 0.29271935230443147, 'hidden_dim': 64, 'learning_rate': 0.00011964737379733297, 'weight_decay': 1.8311562015277183e-05, 'batch_size': 4096}",0.9447762066472325,0.00583644436980279,,,
ft_transformer,11,0.17683669928350415,1024.0,0.12987706689608658,64.0,128.0,0.00010319753651700604,4.0,4.0,5.931624758704331e-05,COMPLETE,0.000453498446099198,0.00787813624915459,0.004679084534471712,0.0034867479784361412,0.9891508579167739,0.17683669928350415,"{'embedding_dim': 64, 'num_layers': 4, 'num_heads': 4, 'dropout': 0.12987706689608658, 'hidden_dim': 128, 'learning_rate': 0.00010319753651700604, 'weight_decay': 5.931624758704331e-05, 'batch_size': 1024}",0.9469668190734235,0.005725628862549099,,,
ft_transformer,12,0.17869914321840832,1024.0,0.060544828492201594,64.0,128.0,0.0001813906191321413,8.0,4.0,3.277806377225554e-05,COMPLETE,0.0006894343153427099,0.007872632586832792,0.004633733695777534,0.00339496215518069,1.0,0.17869914321840832,"{'embedding_dim': 64, 'num_layers': 4, 'num_heads': 8, 'dropout': 0.060544828492201594, 'hidden_dim': 128, 'learning_rate': 0.0001813906191321413, 'weight_decay': 3.277806377225554e-05, 'batch_size': 1024}",0.9527193758535619,0.0057885728787466775,,,
ft_transformer,13,0.21135623579336912,1024.0,0.132506290405946,64.0,128.0,0.00018864638760480244,4.0,3.0,8.148783022525741e-05,COMPLETE,5.365209883896255e-05,0.009450665007765691,0.005387240992220569,0.00379714064354983,0.7864793460947858,0.21135623579336912,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 4, 'dropout': 0.132506290405946, 'hidden_dim': 128, 'learning_rate': 0.00018864638760480244, 'weight_decay': 8.148783022525741e-05, 'batch_size': 1024}",0.9434194294015138,0.006877831680335722,,,
ft_transformer,14,0.2013032164314449,1024.0,0.1356131235595788,64.0,128.0,0.0001530672499088081,2.0,3.0,0.0001631964086582241,COMPLETE,0.00029051561823498895,0.00938820753395777,0.005258970851142181,0.003639802906528598,0.6733525995021317,0.2013032164314449,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.1356131235595788, 'hidden_dim': 128, 'learning_rate': 0.0001530672499088081, 'weight_decay': 0.0001631964086582241, 'batch_size': 1024}",0.9426453092726429,0.006543471310833062,,,
ft_transformer,15,0.18944982780429204,4096.0,0.1500764025351572,64.0,64.0,0.00014198840420196897,4.0,3.0,1.0664682932586669e-05,COMPLETE,0.00018007661134374656,0.009338950577257261,0.004941937278586887,0.003637907387375355,0.5385943326943069,0.18944982780429204,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 4, 'dropout': 0.1500764025351572, 'hidden_dim': 64, 'learning_rate': 0.00014198840420196897, 'weight_decay': 1.0664682932586669e-05, 'batch_size': 4096}",0.9462240706679758,0.006144209436391981,,,
ft_transformer,16,0.1807797028148098,1024.0,0.10477346401360965,64.0,128.0,0.0003448101017007031,8.0,3.0,0.000112750392985809,COMPLETE,0.0008182946614836293,0.0075001014324960515,0.004840139501926671,0.0034080654307928494,0.8886663423846176,0.1807797028148098,"{'embedding_dim': 64, 'num_layers': 3, 'num_heads': 8, 'dropout': 0.10477346401360965, 'hidden_dim': 128, 'learning_rate': 0.0003448101017007031, 'weight_decay': 0.000112750392985809, 'batch_size': 1024}",0.9509211270136646,0.0058567588006975015,,,
ft_transformer,17,0.20105906729710332,1024.0,0.20988578010394912,64.0,64.0,0.00022379328809133553,8.0,2.0,0.00034931155952342384,COMPLETE,2.5410343151516465e-05,0.010265924309036719,0.0054697425237456,0.003656196971682937,0.11313628429997998,0.20105906729710332,"{'embedding_dim': 64, 'num_layers': 2, 'num_heads': 8, 'dropout': 0.20988578010394912, 'hidden_dim': 64, 'learning_rate': 0.00022379328809133553, 'weight_decay': 0.00034931155952342384, 'batch_size': 1024}",0.9434781588202614,0.0065518628105719415,,,
ft_transformer,18,0.09064626797868301,2048.0,0.1597183336450814,64.0,128.0,0.00010314135290404294,4.0,2.0,5.6303342722718924e-05,COMPLETE,2.7203499702978076e-05,0.004749938162104915,0.0035852969852672696,0.00266355422412081,0.99232214560264,0.09064626797868301,"{'embedding_dim': 64, 'num_layers': 2, 'num_heads': 4, 'dropout': 0.1597183336450814, 'hidden_dim': 128, 'learning_rate': 0.00010314135290404294, 'weight_decay': 5.6303342722718924e-05, 'batch_size': 2048}",0.9476153603842944,0.0029232969839337397,,,
ft_transformer,19,0.09985011471451395,4096.0,0.10545347612787834,32.0,64.0,0.0005636428320450681,2.0,3.0,1.501342463163606e-05,COMPLETE,0.0002532235748419681,0.005126870971266254,0.003641254886644584,0.0027678992891037313,0.6379915495913092,0.09985011471451395,"{'embedding_dim': 32, 'num_layers': 3, 'num_heads': 2, 'dropout': 0.10545347612787834, 'hidden_dim': 64, 'learning_rate': 0.0005636428320450681, 'weight_decay': 1.501342463163606e-05, 'batch_size': 4096}",0.9479401391768744,0.00322908935076252,,,
