model_name,treatment_response_auc,qini_auc,uplift_auc,policy_gain_top10,policy_gain_top20,policy_gain_top30,mean_predicted_uplift,positive_uplift_rate
ft_transformer,0.940884768672714,0.2109262046873227,0.006837710078164855,0.008074714284188881,0.005160727507132555,0.0036226125201807577,0.00043816137026010064,0.44675097999942776
s_learner_logistic,0.9495125627369423,0.17329109867969553,0.005599454259864788,0.008817449867054468,0.004807805139568714,0.0033691767736671588,0.0012180961773825825,1.0
two_model_logistic,0.9494382555932446,0.14969434819566507,0.00482473778196343,0.00783230405491182,0.0041903247714436525,0.0031893245764717812,0.0010551765979042562,0.9964090531917937
t_learner_logistic,0.9494382555932446,0.14969434819566507,0.00482473778196343,0.00783230405491182,0.0041903247714436525,0.0031893245764717812,0.0010551765979042562,0.9964090531917937
